0.2,0,1,1,0.1363636364,0.1363636364,0.0,0.1363636364,0.1363636364,0.0,18.837032413997804
0.1,0,1,1,0.1363636364,0.1363636364,0.0,0.1363636364,0.1363636364,0.0,18.33565670500684
0.09,0,1,1,0.1363636364,0.1363636364,0.0,0.1363636364,0.1363636364,0.0,18.512007937009912
0.08,0,1,1,0.1363636364,0.1363636364,0.0,0.1363636364,0.1363636364,0.0,18.49305540599744
0.07,1,2,3,0.1623662816,0.1806364859,0.10114348831007683,0.1623662816,0.1363636364,0.19068606474915045,39.40969429499819
0.06,1,3,4,0.166194332,0.1806364859,0.07995147728900767,0.1575353017,0.1363636364,0.15525887882526435,50.15792633299134
0.05,1,5,6,0.3169728784,0.3619422572,0.12424462163629346,0.3024475524,0.1363636364,1.217948717008547,80.2815878780093
0.04,1,6,7,0.3169728784,0.3619422572,0.12424462163629346,0.3024475524,0.1363636364,1.217948717008547,109.39058117099921
0.03,1,8,9,0.294488189,0.3619422572,0.1863669324544401,0.1806364859,0.1363636364,0.32466756291342214,138.6954315920011
0.02,1,9,10,0.294488189,0.3619422572,0.1863669324544401,0.1806364859,0.1363636364,0.32466756291342214,155.89771205099532
0.01,1,10,11,0.294488189,0.3619422572,0.1863669324544401,0.1806364859,0.1363636364,0.32466756291342214,166.70667344400135
0.009,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,30.93614144199819
0.008,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,31.91459860399482
0.007,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,31.225726075994316
0.006,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,30.98101363699243
0.005,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,31.20595177799987
0.004,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,30.982735099998536
0.003,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,31.82894227199722
0.002,2,19,31,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,69.35992175000138
0.001,2,38,50,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,107.91675170700182
