0.0,0.0
0.0001,6.064000000000004e-57
0.0002,1.9870515200000014e-52
0.0003,8.701177204800016e-50
0.0004,6.511170420736005e-48
0.0005,1.8505859375000004e-46
0.0006,2.851201746468869e-45
0.0007,2.878921299629434e-44
0.0008,2.133580323466774e-43
0.0009,1.2485238250219532e-42
0.001,6.064000000000001e-42
0.002,1.9870515200000004e-37
0.003,8.701177204800005e-35
0.004,6.511170420736001e-33
0.005,1.8505859375000004e-31
0.006,2.8512017464688655e-30
0.007,2.8789212996294366e-29
0.008,2.133580323466773e-28
0.009,1.2485238250219536e-27
0.01,6.064000000000001e-27
0.02,1.9870515200000004e-22
0.03,8.701177204799995e-20
0.04,6.5111704207360014e-18
0.05,1.8505859375000012e-16
0.06,2.8512017464688676e-15
0.07,2.87892129962943e-14
0.08,2.133580323466773e-13
0.09,1.2485238250219508e-12
0.1,6.064000000000004e-12
0.2,1.9870515200000013e-07
0.3,8.701177204800018e-05
0.4,0.006511170420736004
0.5,0.18505859375
0.6,1.0
0.7,1.0
0.8,1.0
0.9,1.0
